environment;line;div;week;total;d_sum;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14
B;S1;mix;1;9;31;1;1;1;5;1;0;0;0;0;0;0;0;0;0
B;S2;mix;1;5;12;2;0;2;1;0;0;0;0;0;0;0;0;0;0
B;S3;mix;1;6;16;0;2;4;0;0;0;0;0;0;0;0;0;0;0
B;S4;mix;1;3;7;1;0;2;0;0;0;0;0;0;0;0;0;0;0
B;S5;mix;1;14;38;0;4;10;0;0;0;0;0;0;0;0;0;0;0
B;S6;mix;1;14;42;1;3;5;5;0;0;0;0;0;0;0;0;0;0
B;S7;mix;1;15;53;2;1;3;5;4;0;0;0;0;0;0;0;0;0
B;S8;mix;1;15;33;5;2;8;0;0;0;0;0;0;0;0;0;0;0
B;GH;sfl;1;15;35;2;6;7;0;0;0;0;0;0;0;0;0;0;0
B;Bourg;sfl;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
B;SRVL;sfl;1;8;15;3;3;2;0;0;0;0;0;0;0;0;0;0;0
B;Steven;sfl;1;11;26;2;3;6;0;0;0;0;0;0;0;0;0;0;0
B;Citadel;sfl;1;8;18;1;4;3;0;0;0;0;0;0;0;0;0;0;0
B;2;sfl;1;6;10;2;4;0;0;0;0;0;0;0;0;0;0;0;0
B;OD;sfl;1;13;21;5;8;0;0;0;0;0;0;0;0;0;0;0;0
B;Flora;sfl;1;13;22;4;9;0;0;0;0;0;0;0;0;0;0;0;0
T;S1;mix;1;4;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0
T;S2;mix;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;S3;mix;1;7;15;1;4;2;0;0;0;0;0;0;0;0;0;0;0
T;S4;mix;1;10;23;3;4;1;1;1;0;0;0;0;0;0;0;0;0
T;S5;mix;1;5;15;0;1;3;1;0;0;0;0;0;0;0;0;0;0
T;S6;mix;1;7;16;1;3;3;0;0;0;0;0;0;0;0;0;0;0
T;S7;mix;1;7;15;3;2;1;0;1;0;0;0;0;0;0;0;0;0
T;S8;mix;1;14;23;8;3;3;0;0;0;0;0;0;0;0;0;0;0
T;GH;sfl;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;Bourg;sfl;1;4;12;1;1;0;1;1;0;0;0;0;0;0;0;0;0
T;SRVL;sfl;1;9;23;1;2;6;0;0;0;0;0;0;0;0;0;0;0
T;Steven;sfl;1;6;13;2;1;3;0;0;0;0;0;0;0;0;0;0;0
T;Citadel;sfl;1;8;36;0;0;1;3;3;1;0;0;0;0;0;0;0;0
T;2;sfl;1;7;14;2;3;2;0;0;0;0;0;0;0;0;0;0;0
T;OD;sfl;1;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0
T;Flora;sfl;1;4;13;1;1;1;0;0;0;1;0;0;0;0;0;0;0
G;S1;mix;1;8;26;2;0;3;1;1;1;0;0;0;0;0;0;0;0
G;S2;mix;1;4;9;2;1;0;0;1;0;0;0;0;0;0;0;0;0
G;S3;mix;1;10;21;3;4;2;1;0;0;0;0;0;0;0;0;0;0
G;S4;mix;1;12;31;3;5;1;0;3;0;0;0;0;0;0;0;0;0
G;S5;mix;1;17;53;3;4;0;8;2;0;0;0;0;0;0;0;0;0
G;S6;mix;1;13;22;7;3;3;0;0;0;0;0;0;0;0;0;0;0
G;S7;mix;1;11;21;4;4;3;0;0;0;0;0;0;0;0;0;0;0
G;S8;mix;1;5;9;2;2;1;0;0;0;0;0;0;0;0;0;0;0
G;GH;sfl;1;9;22;2;2;4;1;0;0;0;0;0;0;0;0;0;0
G;Bourg;sfl;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
G;SRVL;sfl;1;4;16;0;0;1;2;1;0;0;0;0;0;0;0;0;0
G;Steven;sfl;1;9;28;1;1;3;4;0;0;0;0;0;0;0;0;0;0
G;Citadel;sfl;1;14;39;3;6;0;3;0;2;0;0;0;0;0;0;0;0
