environment;line;div;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
B;S1;mix;3;3;3;4;4;5;5;5;5;5;5;4;4;5;5;4;5;5;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;8
B;S2;mix;1;3;3;3;3;3;4;4;4;4;4;3;3;5;4;3;4;4;4;4;4;4;4;6;6;6;6;6;7;6;7;7;7;7;9
B;S3;mix;3;4;4;4;3;3;3;3;4;4;5;5;5;5;6;6;6;5;5;7;7;7;7;7;7;7;7;8;8;9;8;8;7;7;6
B;S4;mix;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;5;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7
B;S5;mix;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;4;6;6;6;8;8;8;8;8;8;8;9;10;10;10;10;10;10
B;S6;mix;3;5;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;7;7;8;8;8;9;9;9;9;8;9;9;9;9;9;9;10;10
B;S7;mix;2;3;4;5;5;5;5;6;6;6;6;6;7;7;7;7;7;7;9;9;9;9;10;10;10;10;12;12;12;13;13;13;13;14;14
B;S8;mix;2;3;3;3;3;3;3;3;3;3;3;4;4;5;5;5;6;6;7;7;7;7;7;7;7;7;7;8;8;8;7;7;7;8;8
B;GH;sfl;3;3;3;3;3;3;3;5;5;5;5;5;5;7;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5
B;Bourg;sfl;1;2;2;2;2;2;2;2;2;2;2;3;4;4;4;5;5;6;6;6;6;6;6;4;5;4;6;6;6;6;5;6;6;6;6
B;SRVL;sfl;2;3;3;4;5;4;4;4;5;5;5;5;5;6;6;7;7;7;8;8;9;9;9;9;9;9;9;9;9;9;9;11;11;13;14
B;Steven;sfl;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;5;5;5;5;4;5;4;4;5;5;5;5;5;5;6;6
B;Citadel;sfl;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6
B;2;sfl;2;2;2;3;3;3;2;2;3;3;3;3;4;3;3;3;3;4;4;6;4;4;4;3;3;4;4;4;4;4;4;2;2;5;5
B;OD;sfl;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;6;6;6;2;6;3;2;3;3;2;2;4;2;3;3
B;Flora;sfl;1;3;3;3;3;3;2;2;2;2;3;3;3;4;4;4;4;4;4;4;6;6;6;4;4;4;4;6;6;6;4;5;4;6;6
T;S1;mix;2;3;3;5;5;5;5;5;5;3;2;3;2;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;S2;mix;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;4;4;4;4;5;5;5;5;4;4;5;5;5;1;1;0;0;0;0
T;S3;mix;3;3;4;4;4;4;3;3;3;3;4;5;4;4;4;4;4;4;4;4;6;6;5;6;5;5;5;5;5;5;5;6;6;6;6
T;S4;mix;3;5;4;5;5;5;5;4;4;4;5;6;6;7;4;3;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
T;S5;mix;2;3;3;4;4;4;4;4;4;4;3;3;4;4;3;3;4;4;4;4;4;4;3;3;3;3;3;4;4;4;4;4;4;4;6
